1,1,3
1,2,3
1,3,3
1,6,3
1,7,3
1,9,3
1,11,3
1,13,3
1,14,3
1,17,3
1,18,3
1,19,3
1,21,3
1,22,3
1,23,3
1,26,3
1,27,3
1,29,3
1,31,3
1,33,3
1,34,3
1,37,3
1,38,3
2,1,3
2,2,3
2,3,3
2,6,3
2,7,3
2,9,3
2,11,3
2,13,3
2,14,3
2,17,3
2,18,3
2,19,3
2,21,3
2,22,3
2,23,3
2,26,3
2,27,3
2,29,3
2,31,3
2,33,3
2,34,3
2,37,3
2,38,3
4,1,2
4,2,2
4,3,2
4,6,2
4,7,2
4,9,2
4,11,2
4,13,2
4,14,2
4,17,2
4,18,2
4,19,2
4,21,2
4,22,2
4,23,2
4,26,2
4,27,2
4,29,2
4,31,2
4,33,2
4,34,2
4,37,2
4,38,2
6,1,1
6,2,1
6,3,1
6,6,1
6,7,1
6,9,1
6,11,1
6,13,1
6,14,1
6,17,1
6,18,1
6,19,1
6,21,1
6,22,1
6,23,1
6,26,1
6,27,1
6,29,1
6,31,1
6,33,1
6,34,1
6,37,1
6,38,1
8,1,3
8,3,3
8,5,3
8,7,3
8,9,3
8,11,3
8,13,3
8,15,3
8,17,3
8,19,3
8,21,3
8,23,3
8,25,3
8,27,3
8,29,3
8,31,3
8,33,3
8,35,3
8,37,3
