0,1,3
0,2,3
0,3,3
0,4,3
0,6,3
0,7,3
0,8,3
0,9,3
0,11,3
0,12,3
0,13,3
0,14,3
0,16,3
0,17,3
0,18,3
0,19,3
0,21,3
0,22,3
0,23,3
0,24,3
0,26,3
0,27,3
0,28,3
0,29,3
0,31,3
0,32,3
0,33,3
0,34,3
0,36,3
0,37,3
0,38,3
1,1,3
1,2,3
1,3,3
1,4,3
1,6,3
1,7,3
1,8,3
1,9,3
1,11,3
1,12,3
1,13,3
1,14,3
1,16,3
1,17,3
1,18,3
1,19,3
1,21,3
1,22,3
1,23,3
1,24,3
1,26,3
1,27,3
1,28,3
1,29,3
1,31,3
1,32,3
1,33,3
1,34,3
1,36,3
1,37,3
1,38,3
3,1,2
3,2,2
3,3,2
3,4,2
3,6,2
3,7,2
3,8,2
3,9,2
3,11,2
3,12,2
3,13,2
3,14,2
3,16,2
3,17,2
3,18,2
3,19,2
3,21,2
3,22,2
3,23,2
3,24,2
3,26,2
3,27,2
3,28,2
3,29,2
3,31,2
3,32,2
3,33,2
3,34,2
3,36,2
3,37,2
3,38,2
5,1,1
5,2,1
5,3,1
5,4,1
5,6,1
5,7,1
5,8,1
5,9,1
5,11,1
5,12,1
5,13,1
5,14,1
5,16,1
5,17,1
5,18,1
5,19,1
5,21,1
5,22,1
5,23,1
5,24,1
5,26,1
5,27,1
5,28,1
5,29,1
5,31,1
5,32,1
5,33,1
5,34,1
5,36,1
5,37,1
5,38,1
